TICKER,ACCURACY,PRECISION,RECALL,F1_SCORE,STATUS
KCHEP,0.6351351351351351,0.6055961000788588,0.6351351351351351,0.6099518636283342,SUCCESS
KCHE,0.6486486486486487,0.641305456399796,0.6486486486486487,0.6447885502763551,SUCCESS
KFBA,0.9256756756756757,0.9373873873873872,0.9256756756756757,0.9278540230139903,SUCCESS
KGKCP,0.9594594594594594,0.9463161791928915,0.9594594594594594,0.9528424976700839,SUCCESS
KGKC,0.972972972972973,0.9597352454495311,0.972972972972973,0.9663087745279526,SUCCESS
KLSB,0.722972972972973,0.7202168098687495,0.722972972972973,0.7214570695158544,SUCCESS
KLVZ,0.6824324324324325,0.728950103950104,0.6824324324324325,0.6902398676592224,SUCCESS
KMAZ,0.6824324324324325,0.6746453467041702,0.6824324324324325,0.6756836529563802,SUCCESS
KMEZ,0.6081081081081081,0.5903508403508403,0.6081081081081081,0.5982466659351868,SUCCESS
KOGK,0.5405405405405406,0.5117842661929647,0.5405405405405406,0.5210132210132211,SUCCESS
KRKNP,0.6283783783783784,0.6235970189458562,0.6283783783783784,0.6242372155184366,SUCCESS
KRKN,0.5878378378378378,0.5854043555208928,0.5878378378378378,0.5828564740623369,SUCCESS
KRKOP,0.5945945945945946,0.5646180454648196,0.5945945945945946,0.5756020050484661,SUCCESS
KROTP,0.6418918918918919,0.6375369709331974,0.6418918918918919,0.6392577017577018,SUCCESS
KROT,0.6418918918918919,0.6408476658476658,0.6418918918918919,0.6412412412412412,SUCCESS
KRSBP,0.6418918918918919,0.6426213663055769,0.6418918918918919,0.6400655811581656,SUCCESS
KRSB,0.6824324324324325,0.6865794365794365,0.6824324324324325,0.6819858989424208,SUCCESS
KUZB,0.6554054054054054,0.6663666017114293,0.6554054054054054,0.6593593353914454,SUCCESS
KZOSP,0.7162162162162162,0.7237618052835445,0.7162162162162162,0.7177388541306068,SUCCESS
KZOS,0.6959459459459459,0.7081346051934287,0.6959459459459459,0.7011743886743886,SUCCESS
LEAS,0.7635135135135135,0.7649330002271179,0.7635135135135135,0.7627826576576577,SUCCESS
LENT,0.7635135135135135,0.7687653562653562,0.7635135135135135,0.7624769303344378,SUCCESS
LIFE,0.6486486486486487,0.6472976472976473,0.6486486486486487,0.6476675740999784,SUCCESS
LKOH,0.722972972972973,0.7209491472353303,0.722972972972973,0.7214115451654237,SUCCESS
LMBZ,0.777027027027027,0.8594823206665312,0.777027027027027,0.7683590625801682,SUCCESS
LNZLP,0.6756756756756757,0.6816705519535707,0.6756756756756757,0.6744214844543792,SUCCESS
LNZL,0.6351351351351351,0.6151486910107599,0.6351351351351351,0.6235613604034658,SUCCESS
LPSB,0.6891891891891891,0.7412885888522411,0.6891891891891891,0.704247752066544,SUCCESS
LSNGP,0.6621621621621622,0.6713385682980277,0.6621621621621622,0.658357783313431,SUCCESS
LSNG,0.6756756756756757,0.6784907356335927,0.6756756756756757,0.6769623373396958,SUCCESS
LSRG,0.7297297297297297,0.7367597504460596,0.7297297297297297,0.7251223805122887,SUCCESS
LVHK,0.6891891891891891,0.6918107358836842,0.6891891891891891,0.6899923728789709,SUCCESS
MAGEP,0.6216216216216216,0.6152670527670527,0.6216216216216216,0.618267061124204,SUCCESS
MAGE,0.6621621621621622,0.6566697379197379,0.6621621621621622,0.6592281056566771,SUCCESS
MAGN,0.6959459459459459,0.698621942100203,0.6959459459459459,0.6970100868730921,SUCCESS
MBNK,0.7635135135135135,0.7675580844001896,0.7635135135135135,0.7610047442822803,SUCCESS
MDMG,0.6756756756756757,0.667502811935585,0.6756756756756757,0.6712073854930999,SUCCESS
MFGSP,0.6486486486486487,0.6414811870694224,0.6486486486486487,0.6418444389630832,SUCCESS
