TICKER,ACCURACY,PRECISION,RECALL,F1_SCORE,STATUS
DVEC,0.6959459459459459,0.6924068033550792,0.6959459459459459,0.6924680166059477,SUCCESS
DZRDP,0.6621621621621622,0.6563562139664558,0.6621621621621622,0.6584990475995293,SUCCESS
DZRD,0.581081081081081,0.5683660933660935,0.581081081081081,0.5743501918763714,SUCCESS
EELT,0.6621621621621622,0.6505239009776215,0.6621621621621622,0.6525566020972757,SUCCESS
ELFV,0.6621621621621622,0.6626066461521984,0.6621621621621622,0.6591008954865116,SUCCESS
ELMT,0.7635135135135135,0.766182848094678,0.7635135135135135,0.7410271960010928,SUCCESS
ENPG,0.6959459459459459,0.6990485383342526,0.6959459459459459,0.6965674156527503,SUCCESS
ETLN,0.7094594594594594,0.7106981981981982,0.7094594594594594,0.707871353401037,SUCCESS
EUTR,0.6148648648648649,0.6075793597961086,0.6148648648648649,0.6020218131693542,SUCCESS
FEES,0.7027027027027027,0.7037534473248759,0.7027027027027027,0.7028806391366358,SUCCESS
FESH,0.7094594594594594,0.7074734925086309,0.7094594594594594,0.7081219326743624,SUCCESS
FIXR,0.9662162162162162,0.9847972972972973,0.9662162162162162,0.975177304964539,SUCCESS
FLOT,0.6418918918918919,0.641740297990298,0.6418918918918919,0.6417843626831715,SUCCESS
GAZAP,0.5743243243243243,0.5947955098790965,0.5743243243243243,0.5822131388870401,SUCCESS
GAZA,0.6013513513513513,0.592642078168394,0.6013513513513513,0.5801455301455302,SUCCESS
GAZP,1.0,1.0,1.0,1.0,SUCCESS
GCHE,0.668918918918919,0.6696760427660257,0.668918918918919,0.6649573742188939,SUCCESS
GECO,0.668918918918919,0.6703703703703704,0.668918918918919,0.669502457002457,SUCCESS
GEMA,0.6554054054054054,0.6533397683397684,0.6554054054054054,0.651926679154402,SUCCESS
GEMC,0.6554054054054054,0.646892600540017,0.6554054054054054,0.6507841240205102,SUCCESS
GMKN,0.7162162162162162,0.7166891891891891,0.7162162162162162,0.7151939442961115,SUCCESS
GTRK,0.6554054054054054,0.63947854940502,0.6554054054054054,0.6445756282598388,SUCCESS
HEAD,0.8040540540540541,0.8041223041223041,0.8040540540540541,0.8035629614576982,SUCCESS
HIMCP,0.6756756756756757,0.6743540675226722,0.6756756756756757,0.6746936091848987,SUCCESS
HNFG,0.6351351351351351,0.6450354609929079,0.6351351351351351,0.6396871945259042,SUCCESS
HYDR,0.7635135135135135,0.7609773727215586,0.7635135135135135,0.7621885208092105,SUCCESS
IGSTP,0.6756756756756757,0.6806107933927482,0.6756756756756757,0.6766751194121771,SUCCESS
IGST,0.7094594594594594,0.7021569646569646,0.7094594594594594,0.704088204295186,SUCCESS
IRAO,0.7364864864864865,0.7390094421344421,0.7364864864864865,0.7376105638689022,SUCCESS
IRKT,0.668918918918919,0.6727231433113787,0.668918918918919,0.6687593915316687,SUCCESS
IVAT,0.7837837837837838,0.7820688354418,0.7837837837837838,0.7785660855762208,SUCCESS
JNOSP,0.6554054054054054,0.6484780234780234,0.6554054054054054,0.6499831225308783,SUCCESS
JNOS,0.6148648648648649,0.6096104160013934,0.6148648648648649,0.6100739731809441,SUCCESS
KAZTP,0.6486486486486487,0.6487987987987988,0.6486486486486487,0.6485824059353471,SUCCESS
KAZT,0.581081081081081,0.5851214851214852,0.581081081081081,0.5822840793337267,SUCCESS
KBSB,0.6554054054054054,0.6584578866414553,0.6554054054054054,0.6554051922620906,SUCCESS
KCHEP,0.6486486486486487,0.6316547406553251,0.6486486486486487,0.6339811701653806,SUCCESS
KCHE,0.6621621621621622,0.6563947550789656,0.6621621621621622,0.659025183297028,SUCCESS
KFBA,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,SUCCESS
KGKCP,0.9527027027027027,0.9461323392357875,0.9527027027027027,0.9494061535584026,SUCCESS
KGKC,0.972972972972973,0.9597352454495311,0.972972972972973,0.9663087745279526,SUCCESS
KLSB,0.6959459459459459,0.6986475636616142,0.6959459459459459,0.6971694606664763,SUCCESS
KLVZ,0.6554054054054054,0.7015671133318193,0.6554054054054054,0.6659412129520825,SUCCESS
KMAZ,0.6891891891891891,0.6826496138996139,0.6891891891891891,0.6836105336105336,SUCCESS
KMEZ,0.6351351351351351,0.6224726464299454,0.6351351351351351,0.6280524196179537,SUCCESS
KOGK,0.5878378378378378,0.5627318494965554,0.5878378378378378,0.5715243170796865,SUCCESS
KRKNP,0.6081081081081081,0.5927089880578253,0.6081081081081081,0.5983526665217594,SUCCESS
KRKN,0.5945945945945946,0.5959762027528324,0.5945945945945946,0.5930514332631491,SUCCESS
KRKOP,0.6013513513513513,0.5789286184722604,0.6013513513513513,0.5881395888642266,SUCCESS
KROTP,0.6554054054054054,0.6508580591461026,0.6554054054054054,0.6512771012771013,SUCCESS
KROT,0.6486486486486487,0.6460061828018094,0.6486486486486487,0.6465076446437118,SUCCESS
KRSBP,0.6418918918918919,0.6410660660660661,0.6418918918918919,0.6373405847540919,SUCCESS
